stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
15207,5207,SHILOH SPRINGS RD @ 1866 SHILOH,Shiloh Springs Rd & Denlinger Rd,39.819083,-84.271744,,,,,0
15208,5208,SHILOH SPRINGS RD @ 1857 SHILOH,,39.819348,-84.271475,,,,,0
15216,5216,STROOP MEIJER @ FRONT DOOR,,39.686162,-84.133159,,,,,0
15235,5235,E 3RD ST @ S ST CLAIR ST,E 3rd St & Hwy 4,39.760275,-84.187297,,,,,0
15250,5250,W 3RD ST @ IONA ST,,39.746478,-84.294273,,,,,0
15259,5259,SPRINGBORO PIKE @ NEWMARK DR,,39.61945,-84.226751,,,,,0
15262,5262,OLD TROY PIKE @ MERILY WAY,,39.867238,-84.137934,,,,,0
15269,5269,COLONEL GLENN HWY @ ZINK RD,,39.775332,-84.075811,,,,,0
15272,5272,HELENA ST @ BRENNAN,E Helena St & Brennan Dr,39.780004,-84.189439,,,,,0
15275,5275,WAYNE AV @ E 5TH ST,,39.757675,-84.18254,,,,,0
15280,5280,MANDEL DR @ SAGEMEADOW CT,Unnamed & Dayton Lebanon Pike,39.60158,-84.1583,,,,,0
15281,5281,MANDEL DR @ CENTERBROOK DR,Unnamed & Dayton Lebanon Pike,39.603348,-84.15708,,,,,0
15282,5282,MANDEL DR @ SUGAR BEND TR,Mandel Dr & Marco Ln,39.606989,-84.155956,,,,,0
15283,5283,MARCO LANE @ STATE HWY 48,MARCO LN & S MAIN ST,39.607668,-84.160514,,,,,0
15284,5284,STATE HWY 48 @ STATE HWY 48,,39.608998,-84.160526,,,,,0
15286,5286,FOX GROVE DR @ 221 FOXGROVE DR,Fox Grove Dr & Dayton Lebanon Pike,39.611441,-84.15709,,,,,0
15287,5287,FOX GROVE DR @ 257 FOXGROVE DR,Fox Grove Dr & Dayton Lebanon Pike,39.610183,-84.157394,,,,,0
15288,5288,FOX GROVE DR @ MANDEL DR,Fox Grove Dr & Mandel Dr,39.610041,-84.155983,,,,,0
15294,5294,KETTERING MEDICAL CENTER,SOUTHERN BLVD,39.695468,-84.19201,,,,,0
15303,5303,W ALEXNDRSVLE BELLBR @ SPRINGBOR,,39.67304,-84.220828,,,,,0
15312,5312,JAMES H MCGEE BLVD @ WALTON AV,,39.767851,-84.243908,,,,,0
15325,5325,E.C. MOSES BLVD @ STEWART ST,,39.740269,-84.195002,,,,,0
15329,5329,E.C. MOSES BLVD @ AREA B,,39.733646,-84.20139,,,,,0
15330,5330,E.C. MOSES BLVD @ CINCINNATI ST,,39.732763,-84.207535,,,,,0
15332,5332,E.C. MOSES BLVD @ BROADWAY ST,,39.732579,-84.214154,,,,,0
15338,5338,STEWART ST @ 1041 STEWART ST,W Stewart St & Custer Pl,39.742196,-84.22597,,,,,0
15340,5340,STEWART ST @ ZION AV,,39.742187,-84.228419,,,,,0
15341,5341,GERMANTOWN ST @ DENNISON AV,,39.742502,-84.229826,,,,,0
15342,5342,GERMANTOWN ST @ ADELITE AV,GERMANTOWN ST & IOLA AVE,39.741575,-84.232406,,,,,0
15343,5343,GERMANTOWN ST @ ELENOR AV,GERMANTOWN ST & ELEANOR AVE,39.74051,-84.235312,,,,,0
15344,5344,GERMANTOWN ST @ DEARBORN AV,GERMANTOWN ST & DEARBORN AVE,39.739229,-84.23877,,,,,0
15366,5366,STROOP RD @ WILMINGTON PK,,39.68872,-84.130628,,,,,0
15367,5367,STROOP RD @ WOODMAN DR,,39.688629,-84.128566,,,,,0
15368,5368,STROOP RD @ 2250 STROOP RD,,39.688273,-84.123377,,,,,0
15369,5369,STROOP RD @ GLENHEATH DR,,39.687799,-84.117699,,,,,0
15370,5370,STROOP RD @ WAGNER RD,,39.688039,-84.112753,,,,,0
15371,5371,STROOP RD @ WALDEN WAY,,39.689313,-84.107915,,,,,0
15372,5372,STROOP RD @ STONECASTLE DR,,39.691003,-84.106608,,,,,0
15376,5376,STROOP RD @ STONCASTLE DR,W Stroop Rd & E Blackhawk Rd,39.691103,-84.107042,,,,,0
15377,5377,STROOP RD @ LENORA (1),W Stroop Rd & Leonora Dr,39.689853,-84.107971,,,,,0
